%%MatrixMarket matrix coordinate  real general
800 800 2400
1 1 1.1586702087304971975356693292269483208656311035156250000000000000e+00
1 2 -1.5856923719666884964318853690201649442315101623535156250000000000e-01
1 3 -1.0097153382842329874188869176521166082238778471946716308593750000e-04
2 1 -5.0380717552326182828020817439096390444319695234298706054687500000e-04
2 2 1.1580857717003918416764918219996616244316101074218750000000000000e+00
2 3 -1.5758196452486869509890254903439199551939964294433593750000000000e-01
3 2 -1.2023161504073449305091125793865103332791477441787719726562500000e-03
3 3 1.1577811575254008946700423621223308145999908447265625000000000000e+00
3 4 -1.5657884137499356036471453990088775753974914550781250000000000000e-01
4 3 -2.1844014237582761762956895523757339105941355228424072265625000000e-03
4 4 1.1580353237764144935795229685027152299880981445312500000000000000e+00
4 5 -1.5585092235265618487716210438520647585391998291015625000000000000e-01
5 4 -3.4382693308259988478059465677461048471741378307342529296875000000e-03
5 5 1.1588248700188199524774290694040246307849884033203125000000000000e+00
5 6 -1.5538660068799395319594225384207675233483314514160156250000000000e-01
6 5 -4.9525911044151363707421786841678112978115677833557128906250000000e-03
6 6 1.1601273709105062170721112124738283455371856689453125000000000000e+00
6 7 -1.5517477980609101217979173270578030496835708618164062500000000000e-01
7 6 -6.7164528970756953371590292078963102540001273155212402343750000000e-03
7 7 1.1619212224654946741253525033243931829929351806640625000000000000e+00
7 8 -1.5520476956841905424866467910760547965764999389648437500000000000e-01
8 7 -8.7192522875688682759687253565061837434768676757812500000000000000e-03
8 8 1.1641854190202314267565952832228504121303558349609375000000000000e+00
8 9 -1.5546616673266258623620217349525773897767066955566406250000000000e-01
9 8 -1.0950745292281753931473708973953762324526906013488769531250000000e-02
9 9 1.1668996695794515705557614637655206024646759033203125000000000000e+00
9 10 -1.5594892428716980448122342295391717925667762756347656250000000000e-01
10 9 -1.3401055332368681446975067217408650321885943412780761718750000000e-02
10 10 1.1700444169455210818853174714604392647743225097656250000000000000e+00
10 11 -1.5664336161315234319246769700839649885892868041992187500000000000e-01
11 10 -1.6060635786428613391851882852279231883585453033447265625000000000e-02
11 11 1.1736007571084658973603609410929493606090545654296875000000000000e+00
11 12 -1.5754012132203734641855419340572552755475044250488281250000000000e-01
12 11 -1.8920258601662551939392997724098677281290292739868164062500000000e-02
12 12 1.1775504169590877978635035105980932712554931640625000000000000000e+00
12 13 -1.5863015835742513837125500231195474043488502502441406250000000000e-01
13 12 -2.1971010633081745899719550152440206147730350494384765625000000000e-02
13 13 1.1818757482531543345771751774009317159652709960937500000000000000e+00
13 14 -1.5990473762007262337192514678463339805603027343750000000000000000e-01
14 13 -2.5204282105473096997627635573735460638999938964843750000000000000e-02
14 14 1.1865597045073852378038736787857487797737121582031250000000000000e+00
14 15 -1.6135542240191214080624604321201331913471221923828125000000000000e-01
15 14 -2.8611755078196559470837812000354460906237363815307617187500000000e-02
15 15 1.1915858178691316471287109379773028194904327392578125000000000000e+00
15 16 -1.6297406279093495928833590369322337210178375244140625000000000000e-01
16 15 -3.2185393889028683644948358733017812483012676239013671875000000000e-02
16 16 1.1969381801679435106677829026011750102043151855468750000000000000e+00
16 17 -1.6475278627891490335066748684766935184597969055175781250000000000e-01
17 16 -3.5917435670936262437358266197406919673085212707519531250000000000e-02
17 17 1.2026014241069040711096249651745893061161041259765625000000000000e+00
17 18 -1.6668398843596771152775204427598509937524795532226562500000000000e-01
18 17 -3.9800380909637132764711253685163683257997035980224609375000000000e-02
18 18 1.2085607045054092001379331122734583914279937744140625000000000000e+00
18 19 -1.6876032359577203267875233905215281993150711059570312500000000000e-01
19 18 -4.3826984380269592977974468794855056330561637878417968750000000000e-02
19 19 1.2148016803029995092089166064397431910037994384765625000000000000e+00
19 20 -1.7097469592272990235315432983043137937784194946289062500000000000e-01
20 19 -4.7990246422498938905221166351111605763435363769531250000000000000e-02
20 20 1.2213104972444568385725460757385008037090301513671875000000000000e+00
20 21 -1.7332025082195787191174929375847568735480308532714843750000000000e-01
21 20 -5.2283404519743968685840940224807127378880977630615234375000000000e-02
21 21 1.2280737711730442818236497259931638836860656738281250000000000000e+00
21 22 -1.7579036665330027844333926623221486806869506835937500000000000000e-01
22 21 -5.6699925195633341101775215520319761708378791809082031250000000000e-02
22 22 1.2350785719570607223971592247835360467433929443359375000000000000e+00
22 23 -1.7837864676142717312856689204636495560407638549804687500000000000e-01
23 22 -6.1233496224133578123005605675643892027437686920166015625000000000e-02
23 23 1.2423124080422334181150745280319824814796447753906250000000000000e+00
23 24 -1.8107891181809981917538721063465345650911331176757812500000000000e-01
24 23 -6.5878019144366514736610440650110831484198570251464843750000000000e-02
24 24 1.2497632116114711919863111688755452632904052734375000000000000000e+00
24 25 -1.8388519246710471888306415166880469769239425659179687500000000000e-01
25 24 -7.0627602071709677522548531669599469751119613647460937500000000000e-02
25 25 1.2574193243345259674015323980711400508880615234375000000000000000e+00
25 26 -1.8679172226281626212340825077262707054615020751953125000000000000e-01
26 25 -7.5476552794070631002831817113474244251847267150878906250000000000e-02
26 26 1.2652694836847850901051515393191948533058166503906250000000000000e+00
26 27 -1.8979293089071447298010753002017736434936523437500000000000000000e-01
27 26 -8.0419372140456663045071650230966042727231979370117187500000000000e-02
27 27 1.2733028097970047198828069667797535657882690429687500000000000000e+00
27 28 -1.9288343765654791805985723840421997010707855224609375000000000000e-01
28 27 -8.5450747608315391623534651444060727953910827636718750000000000000e-02
28 28 1.2815087928385853199841903915512375533580780029296875000000000000e+00
28 29 -1.9605804523026984509392889322043629363179206848144531250000000000e-01
29 28 -9.0565547236661228525100852948526153340935707092285156250000000000e-02
29 29 1.2898772808682290591519858935498632490634918212890625000000000000e+00
29 30 -1.9931173363156781674909723278688034042716026306152343750000000000e-01
30 29 -9.5758813711030815740699040361505467444658279418945312500000000000e-02
30 30 1.2983984681538842664849653374403715133666992187500000000000000000e+00
30 31 -2.0263965444285358952214437522343359887599945068359375000000000000e-01
31 30 -1.0102575868819257953745704980974551290273666381835937500000000000e-01
